Step,Value
18,-150.0228
24,-150.0228
40,-150.0228
42,-150.0228
45,-150.0228
56,-150.0228
71,-150.0228
74,-109.786111970026
94,-73.4074447880102
106,-40.658756294222
126,-11.192824679787
155,-25.0758222118083
158,-37.5705199906274
167,-8.40552397657751
183,-22.5672515789198
185,-35.3128064210278
229,-46.783805778925
234,-57.1077052010325
249,-66.3992146809293
255,-74.7615732128363
260,-41.8774718765655
267,-12.2896687038962
273,-26.0629818335065
308,-38.4589636501559
310,-49.6153472851404
318,-59.6560925566263
339,-68.6927633009637
347,-36.4155429558801
367,-7.36604464530495
421,-21.6317201807745
422,-34.470828162697
439,-46.0260253464274
442,-56.4257028117846
445,-65.7854125306061
460,-74.2091512775455
463,-41.3802921348038
464,-11.8343189063362
474,-25.6531670157026
493,-38.0901303141323
514,-49.2833972827191
531,-19.1206495244728
536,8.02582345794883
563,32.4576491421283
573,54.4462922578899
579,74.2360710620752
586,92.0468719858421
587,67.8399047872579
620,86.4559702935449
622,103.210429249203
634,118.123794354257
641,91.3091349188315
642,107.586165441936
644,122.061956927716
647,135.255817219958
649,106.727955497962
661,81.0528799481656
671,98.3476479383619
714,73.5106031445257
722,91.3939508600475
730,67.2522757740428
739,45.5247681966385
752,66.3723473619874
756,44.7328326257887
765,65.4939573931842
769,84.3446176388786
771,60.9078758749907
773,80.2250323024788
780,57.2002490722309
785,76.7146321949822
787,54.0408889754841
792,33.6345200779357
794,55.6790120851293
798,35.1088308766163
802,57.0058918039419
808,36.3030226235477
809,17.670440361193
832,0.901116325073673
836,26.2110606775791
869,48.9978986248084
876,29.0958287623275
882,11.1839658860948
896,35.4735133124725
900,57.1605700111996
907,76.8445689950925
909,94.5680561105704
917,70.1089704995134
931,48.095793449562
932,28.2839341046058
942,50.8634847091325
945,30.7748562382192
954,12.6950906143973
962,-3.57669844704247
971,-18.2213086023382
972,-31.4014577421044
978,-43.263591967894
979,-53.9395127711046
984,-63.5478414939941
1002,-72.1953373445947
1005,-79.9780836101353
1014,-46.5723312341345
1044,-16.6806900807467
1057,-30.014901072672
1063,-42.0156909654048
1066,-12.4061778538772
1068,-26.1678400684895
1072,-38.5533360616405
1078,-49.7002824554765
1083,-19.3223101949417
1093,-32.3923591754475
1099,-44.1554032579027
1104,-54.7421429321124
1114,-64.2702086389012
1156,-32.6087797450367
1160,-44.3501817705331
1161,-54.9174435934798
1162,-24.0177552191446
1180,-36.6182596972301
1193,-47.9587137275072
1206,-58.1651223547564
1232,-67.3508901192808
1244,-75.6180811073528
1255,-83.0585529966175
1258,-49.3526417119429
1261,-59.4196575407487
1281,-68.4799717866738
1287,-76.6342546080064
1294,-43.5628851322186
1300,-13.8065406339839
1316,-27.4281665705855
1319,0.714706071485807
1330,-14.3590445356628
1333,-27.9254200820965
1336,-40.1351580738869
1337,-51.1239222664982
1385,-20.6114740548356
1388,-33.552606649352
1391,-4.79728999940403
