Step,Value
18,-150.0006
24,-118.294352988241
40,-121.464977689417
42,-92.6184819322343
45,-98.3566937390108
56,-103.52108436511
71,-76.4689779403579
74,-83.8221401463221
94,-90.4399861316899
106,-96.3960475185209
126,-101.756502766669
155,-75.0108234664837
158,-82.5098011198354
167,-57.5526339960928
183,-66.7974305964835
185,-75.1177475368352
229,-51.0359437596335
234,-29.3623203601519
249,-41.4261483241367
255,-52.2835934917231
260,-62.0552941425508
267,-70.8498247282957
273,-47.058655243707
308,-57.3528497193363
310,-66.6176247474027
318,-43.2496752609033
339,-22.2185207230539
347,-3.29048163898943
367,13.6085955484277
421,28.953923005344
422,11.0584707048096
439,-5.04743636567133
442,-19.5427527291042
445,-32.5885374561938
460,-44.3297437105744
463,-23.3267403159988
464,-35.9941262843989
474,-47.394773655959
493,-25.9552983021222
514,-38.35982847191
531,-17.8176586129599
536,-31.0359527516639
563,-11.2323594882566
573,-25.1091835394309
579,-37.5983251854879
586,-48.8385526669391
587,-27.2485103884861
620,-39.5237193496375
622,-18.8713494264328
634,-31.9842744837896
641,-12.0796600236515
642,-25.8717540212864
644,-6.57839160739863
647,-20.9206124466587
649,-33.8286112019929
661,-13.7457520935527
671,4.32882110404347
714,20.59593698188
722,3.536283283692
730,-11.8174050446772
739,6.06433344803142
752,22.0279291267465
756,4.82507621407183
765,-10.6574914073353
769,-24.5918022666018
771,-5.42643502818254
773,11.6862374981539
780,-4.48244625166146
785,12.5358273970229
787,-3.71781534267942
792,13.3601532033476
794,-2.97592211698714
798,14.0216680829525
802,29.1895302981754
808,11.2705172683579
809,-4.85659445847787
832,12.3290629756108
836,-3.90390332195028
869,-18.5135729897552
876,-31.6622756907797
882,-43.4961081217018
896,-54.1465573095316
900,-32.0319035903375
907,-12.1287152430629
909,-25.9159037187566
917,-38.3243733468809
931,-17.9219069886747
932,-31.1297762898072
942,-11.4467696373083
945,6.2679363499407
954,22.3411407031875
962,36.8132136446279
971,18.1318322801651
972,32.8886780756667
978,46.1698392916183
979,58.1228843859746
984,37.3105359473772
1002,18.5794223526395
1005,33.4214781056164
1014,15.0792702950548
1044,-1.42871673445069
1057,15.4203419507535
1063,-1.12175224432187
1066,-16.0096370198897
1068,2.2913246703402
1072,-12.9378677966938
1078,5.06210599473465
1083,-10.4441646047388
1093,-24.3998081442649
1099,-36.9598873298384
1104,-16.5639006086137
1114,1.79867646400675
1156,18.318806805847
1160,1.48686612526228
1161,-13.6618804872639
1162,-27.2957524385375
1180,-39.5662371946838
1193,-50.6096734752154
1206,-28.8425191159348
1232,-40.9583272043413
1244,-20.1624964956663
1255,-33.1463068460997
1258,-13.1316781732488
1261,4.88767665583515
1281,-10.6011510097484
1287,7.16515110298556
1294,-8.55142400731296
1300,-22.6963416065817
1316,-3.85667842240531
1319,-18.4710705801648
1330,-31.6240235221483
1333,-43.4616811699335
1336,-54.1155730529402
1337,-31.997828735887
1385,-43.7981058622983
1388,-54.4183552760685
1391,-32.2703327367026
1392,-44.0433594630323
1414,-54.6390835167291
1426,-64.1752351650562
1436,-72.7577716485506
1440,-80.4820544836955
1465,-87.433909035326
1466,-62.1204891082752
1477,-70.9085001974477
1485,-78.8177101777029
1489,-54.2359411716917
1491,-63.8124070545226
1523,-40.7249793373113
1527,-51.6525414035801
1552,-61.4873472632221
1568,-38.6386145486591
1569,-18.0685660820341
1584,-31.2617694738306
1588,-43.1356525264476
1604,-53.8221472738028
1605,-63.4399925464225
1627,-72.0960532917803
1632,-48.3164189390841
1637,-26.7847790569348
1640,-39.1063611512413
1645,-50.1957850361172
1648,-28.4762085442646
1660,-40.6286476898381
1668,-51.5658429208543
1675,-61.4093186287689
1682,-70.268446765892
1691,-78.2416620893028
1695,-85.4175558803726
1697,-91.8758602923353
1699,-97.6883342631018
1702,-102.919560836792
1709,-107.627664753112
1718,-111.864958277801
1728,-115.678522450021
1732,-119.110730205019
1734,-122.199717184517
1737,-124.979805466065
1742,-127.481884919459
1745,-129.733756427513
1746,-131.760440784762
1766,-133.584456706286
1775,-135.226071035657
1781,-136.703523932091
1788,-138.033231538882
1789,-139.229968384994
1798,-140.307031546495
1805,-141.276388391845
1826,-142.148809552661
1830,-142.933988597395
1840,-143.640649737655
1844,-144.27664476389
1853,-144.849040287501
1866,-113.794107235232
1869,-117.414756511709
1875,-89.1032518370201
1877,-95.1929866533181
1911,-68.9675009762272
1917,-77.0708108786045
1934,-84.3637897907441
1944,-59.2274128234288
1947,-68.3047315410859
1949,-44.9042293634591
1967,-23.843777403595
1981,-4.75321265147645
1983,-19.2779513863288
2001,-32.3502162476959
2005,-12.5451655994081
2013,-26.2907090394673
2030,-38.6616981355206
2036,-18.0955303337277
2060,-31.2860373003549
2073,-43.1574935703194
2076,-53.8418042132874
2077,-63.4576837919587
2079,-72.1119754127628
2081,-79.9008378714865
2085,-86.9108140843379
2089,-93.2197926759041
2096,-98.8978734083137
2111,-104.008146067482
2145,-108.607391460734
2149,-112.746712314661
2156,-116.472101083195
2165,-119.824950974875
2177,-122.842515877388
2187,-125.558324289649
2189,-128.002551860684
2191,-130.202356674616
2196,-132.182181007154
2199,-133.964022906439
2207,-135.567680615795
2211,-137.010972554215
2231,-138.309935298794
2236,-139.479001768914
2237,-140.531161592023
2239,-141.478105432821
2242,-142.330354889539
2246,-143.097379400585
2247,-143.787701460526
2254,-144.408991314474
2257,-144.968152183026
2262,-145.471396964724
2281,-145.924317268251
2291,-146.331945541426
2297,-146.698810987284
2303,-147.028989888555
2307,-147.3261508997
2319,-147.59359580973
2320,-147.834296228757
2345,-148.050926605881
2354,-148.245893945293
2389,-148.421364550764
2390,-148.579288095687
2392,-148.721419286119
2436,-148.849337357507
2444,-148.964463621756
2451,-149.06807725958
2453,-149.161329533622
2455,-149.24525658026
2460,-149.320790922234
2485,-149.388771830011
2486,-149.44995464701
2496,-149.505019182309
2498,-149.554577264078
2503,-149.59917953767
2517,-149.639321583903
2523,-149.675449425513
2532,-149.707964482962
2547,-149.737228034665
2551,-149.763565231199
2553,-149.787268708079
2578,-149.808601837271
2590,-149.827801653544
2600,-149.84508148819
2606,-149.860633339371
2623,-149.874630005434
2629,-149.88722700489
2630,-118.19850631616
2644,-121.378715684544
2650,-124.24090411609
2655,-126.816873704481
2678,-129.135246334033
2685,-131.22178170063
2690,-133.099663530567
2703,-134.78975717751
2710,-136.310841459759
2725,-137.679817313783
2737,-107.205648570646
2740,-111.485143713581
2754,-83.6304423304639
2789,-90.2674580974175
2790,-96.2407722876758
2791,-101.616755058908
2809,-74.8850505294992
2824,-50.6965474883084
2872,-28.9268947512366
2881,-41.034265276113
2890,-20.2308407602608
2896,-33.2078166842347
2917,-13.317005992293
2919,4.72088161869533
2920,-10.7512665431742
2967,6.89388913466141
2975,-8.79555977880472
2998,8.78399418731667
3007,-7.094465231415
3011,-21.3850787082735
3015,-2.54038382568706
3027,-17.2864054431184
3030,-30.5578248988065
3038,-10.7958553971668
3041,6.8537591660681
3065,-8.83167675053872
3069,8.75148891275606
3071,24.5763380097214
3099,7.1186442087492
3122,-8.59328021212571
3137,-22.7340121909131
3145,-35.4606709718218
3150,-15.3445748511215
3155,-28.8101773660093
3161,-40.9292196294084
3177,-51.8363576664676
3195,-61.6527818998208
3196,-38.9174746863206
3203,-50.0257872176885
3206,-28.4531794724014
3230,-8.90786353692042
3233,-23.0171371832284
3240,-35.7154834649055
3243,-47.143995118415
3244,-57.4296556065735
3246,-35.1166610223979
3247,-14.9049969319173
3272,-28.4145572387255
3281,-40.573161514853
3305,-19.8096583516086
3313,-1.25866349292957
3327,15.5733898681225
3328,-0.984009118689784
3345,-15.8856682068208
3374,-29.2971613861387
3376,-41.3675052475248
3386,-52.2308147227724
3403,-62.0077932504951
3408,-70.8070739254457
3430,-47.0263685446602
3438,-25.6237337019533
3449,-6.35517331999887
3451,-20.719715987999
3458,-2.07771536568086
3464,14.7000851944054
3471,29.9362636867239
3477,43.6488243298107
3480,24.2838818968296
3497,6.85543370714663
3509,-8.83016966356803
3512,8.75903431454788
3519,24.4531599066113
3535,7.00778391595014
3537,22.8770345478733
3543,5.58927109308601
3547,-9.96971601622261
3563,-23.9728044146003
3580,-4.86933696138121
3600,-19.3824632652431
3618,-32.4442769387188
3620,-44.1999092448469
3622,-54.7799783203622
3625,-32.7319514648078
3628,-44.4588163183271
3645,-23.4429056629762
3656,-36.0986750966785
3670,-47.4888675870107
3700,-57.7400408283096
3702,-66.9660967454786
3726,-43.6994580474126
3730,-22.6295142544304
3732,-35.3666228289874
3738,-15.1299625578478
3741,-28.617026302063
3743,-40.7553836718567
3752,-51.6799053046711
3759,-61.511974774204
3772,-38.7907482732654
3780,-18.3416444224207
3793,-31.5075399801786
3795,-43.3568459821608
3798,-54.0212213839447
3814,-63.6191592455502
3819,-72.2573033209952
3821,-80.0316329888957
3831,-87.0285296900061
3835,-93.3257367210055
3864,-98.993223048905
3869,-104.093960744015
3876,-108.684624669613
3920,-81.1099751908927
3928,-87.9990376718034
3935,-94.1991939046231
3939,-99.7793345141608
3950,-73.0952140509856
3956,-49.079505634128
3962,-59.1716150707152
3984,-68.2545135636437
3995,-44.8590331837611
4000,-55.373189865385
4009,-64.8359308788465
4010,-41.6461507792028
4022,-52.4815957012825
4033,-62.2334961311543
4036,-71.0102065180388
4046,-78.9092458662349
4093,-86.0183812796114
4098,-92.4166031516503
4099,-98.1750028364853
4109,-103.357562552837
4182,-108.021866297553
4193,-112.219739667798
4194,-84.291578689259
4196,-59.1562338085739
4198,-68.2406704277166
4201,-44.8465743614267
4202,-55.361976925284
4227,-64.8258392327556
4232,-73.3433153094801
4235,-49.3089857902912
4243,-59.378147211262
4254,-68.4403924901359
4263,-44.8963552528814
4266,-55.4067797275932
4267,-33.166103766593
