Step,Value
18,-160
24,-160
40,-160
42,-131.311199989319
45,-105.614479969025
56,-111.053031972122
71,-115.94772877491
74,-120.352955897419
94,-95.628860296996
106,-73.3771742566152
126,-53.4738568095914
155,-35.4376711179511
158,-47.893904006156
167,-59.1045136055404
183,-40.5108622556675
185,-52.4597760301008
229,-63.2137984270908
234,-72.8924185843817
249,-81.6031767259435
255,-89.4428590533492
260,-67.8153731586954
267,-77.0338358428259
273,-85.3304522585433
308,-64.2318070113267
310,-73.808626310194
318,-82.4277636791746
339,-90.1849873112572
347,-97.1664885801315
367,-74.7610397114372
421,-83.2849357402935
422,-62.2732421769453
439,-72.0459179592508
442,-80.8413261633257
445,-60.1915935256309
460,-41.6068341517054
463,-53.4461507365349
464,-64.1015356628814
474,-45.0025820859121
493,-56.5023238773209
514,-38.16889150027
531,-50.352002350243
536,-32.7512020938564
563,-16.9104818631084
573,-31.2194336767976
579,-44.0974903091178
586,-55.687741278206
587,-37.4301671397043
620,-49.6871504257339
622,-32.1528353617982
634,-16.2487518149372
641,-1.93507662276232
642,-17.7415689604861
644,-31.9674120644375
647,-16.2050708366314
649,-30.5845637529683
661,-43.5261073776714
671,-55.1734966399043
714,-65.6561469759139
722,-46.5249322569602
730,-57.8724390312642
739,-39.5195951067754
752,-51.5676355960979
756,-62.4108720364881
765,-43.4809848221581
769,-26.4440863292612
771,-39.799677696335
773,-23.2541099053392
780,-36.9286989148053
785,-49.2358290233248
787,-60.3122461209923
792,-70.2810215088931
794,-50.5641193473226
798,-61.5077074125903
802,-42.6681366606502
808,-54.4013229945852
809,-36.2723906844455
832,-48.6451516160009
836,-59.7806364544008
869,-69.8025728089608
876,-50.1391155387458
882,-61.1252039848713
896,-42.4470835650218
900,-54.2023752085196
907,-36.0989376983488
909,-48.489043928514
917,-30.9513395249814
931,-15.1674055618021
932,-29.6506650056219
942,-42.6855985050597
945,-25.7282386438726
954,-39.1554147794853
962,-22.5566733122179
971,-36.3010059809961
972,-48.6709053828965
978,-59.8038148446069
979,-41.2578333387839
984,-53.1320500049055
1002,-35.1300449937338
1005,-47.6170404943604
1014,-58.8553364449244
1044,-40.2866028111131
1057,-23.574742540683
1063,-37.2172682866147
1066,-49.4955414579532
1068,-60.5459873121579
1072,-70.4913885809421
1078,-50.759049733529
1083,-61.6831447601761
1093,-42.8316302948397
1099,-25.9828672439934
1104,-39.384580519594
1114,-51.4461224676347
1156,-62.3015102208712
1160,-43.3881592094652
1161,-55.0493432885187
1162,-65.5444089596669
1180,-74.9899680637002
1193,-83.4909712573302
1206,-91.1418741315971
1232,-98.0276867184375
1244,-104.224918046594
1255,-109.802426241934
1258,-114.822183617741
1261,-90.7743652346045
1281,-97.6969287111441
1287,-103.92723584003
1294,-109.534512256027
1300,-114.581061030424
1316,-119.122954927382
1319,-123.210659434644
1330,-126.889593491179
1333,-130.200634142061
1336,-133.180570727855
1337,-135.86251365507
1385,-138.276262289563
1388,-140.448636060606
1391,-142.403772454546
1392,-144.163395209091
1414,-145.747055688182
1426,-147.172350119364
1436,-148.455115107428
1440,-149.609603596685
1465,-150.648643237016
1466,-151.583778913315
1477,-152.425401021983
1485,-153.182860919785
1489,-153.864574827806
1491,-125.794917355707
1523,-100.532225630817
1527,-77.7958030784168
1552,-86.0162227705752
1568,-64.7314005041988
1569,-74.2582604537789
1584,-82.832434408401
1588,-90.5491909675609
1604,-97.4942718708049
1605,-75.0560446730432
1627,-83.5504402057389
1632,-91.195396185165
1637,-98.0758565666485
1640,-104.268270909984
1645,-81.1582438296665
1648,-89.0424194466998
1660,-96.1381775020299
1668,-102.524359751827
1675,-108.271923776644
1682,-84.761531409661
1691,-63.602178279376
1695,-44.6763604300761
1697,-56.2087243870685
1699,-38.0222519269993
1702,-50.2200267342994
1709,-61.1980240608695
1718,-71.0782216547825
1728,-79.9703994893043
1732,-59.4077595190116
1734,-69.4669835671104
1737,-78.5202852103994
1742,-86.6682566893594
1745,-94.0014310204235
1746,-71.9124879077
1766,-52.0380391276112
1775,-34.1510352255312
1781,-46.7359317029781
1788,-29.3791385433614
1789,-42.4412246890253
1798,-25.5139022308039
1805,-38.9625120077235
1826,-22.5006607855889
1830,-36.25059470703
1840,-48.625535236327
1844,-59.7629817126943
1853,-69.7866835414249
1866,-78.8080151872824
1869,-86.9272136685542
1875,-94.2344923016988
1877,-100.811043071529
1911,-106.729938764376
1917,-83.4913448665761
1934,-62.4590103905997
1944,-72.2131093515397
1947,-80.9917984163857
1949,-88.8926185747472
1967,-96.0033567172725
1981,-102.403021045545
1983,-108.162718940991
2001,-113.346447046892
2005,-118.011802342202
