Step,Value
18,35.6694
24,16.2024
40,31.7824890246582
42,12.7041801221924
45,-4.46629789002685
56,-19.9197281010242
71,-33.8278152909218
74,-13.1084357741587
94,-27.6976521967428
106,-40.8279469770685
126,-52.6452122793617
155,-30.0376040390964
158,-42.9339036351868
167,-54.5405732716681
183,-31.7434289321722
185,-11.3687570142968
229,-26.1319413128671
234,-6.18214919390951
249,11.7791527378105
255,-5.29882253597052
260,-20.6690002823735
267,-1.40177122947793
273,-17.1616541065301
308,1.89759831645199
310,-14.1922215151932
318,-28.6730593636739
339,-41.7058134273065
347,-20.198634096905
367,-34.0788306872145
421,-46.571007618493
422,-57.8139668566437
439,-67.9326301709794
442,-43.8027691662105
445,-55.3225522495895
460,-32.4472100123014
463,-45.1025490110713
464,-56.4923541099642
474,-66.7431786989678
493,-75.968920829071
514,-51.1716997215057
531,-61.9545897493552
536,-71.6591907744196
563,-47.1501846846486
573,-25.2348371915256
579,-5.37475548470215
586,12.499318051439
587,-4.65067375370492
620,-20.0856663783344
622,-33.977159740501
634,-46.4795037664509
641,-57.7316133898058
642,-67.8585120508252
644,-43.8723318210845
647,-55.3851586389761
649,-65.7467027750785
661,-75.0720924975706
671,-83.4649432478136
714,-91.0185089230323
722,-64.5735710183999
730,-40.7731269042309
739,-19.3527272014787
752,-33.3175144813308
756,-45.8858230331977
765,-24.0969117052198
769,-4.48689151003961
771,-19.9382623590356
773,-0.607838135461179
780,-16.4471143219151
785,-30.7024628897236
787,-10.2956186130803
792,-25.1661167517723
794,-5.31290708892416
798,-20.6816763800317
802,-34.5135687420286
808,-13.7191248554966
809,4.99587464238215
832,-11.4037728218561
836,-26.1634555396705
869,-39.4471699857034
876,-18.3021239624749
882,-32.3719715662274
896,-11.9344453849465
900,-26.6410608464518
907,-6.64035677413574
909,-21.8763810967222
917,-2.35214499937905
931,15.083398525217
932,-2.32500132730468
942,-17.9925611945742
945,-32.0933650751168
954,-11.5474305799342
962,6.95039949038832
971,-9.64470045865048
972,-24.5802904127854
978,-4.7791743591778
979,-20.20131692326
984,-34.081245230934
1002,-13.3365227201697
1005,5.33372753951815
1014,-11.0997052144337
1044,7.35335231933877
1057,23.961104099734
1063,38.9080807020897
1066,19.1172126318807
1068,34.5420893563635
1072,48.4244784083981
1078,60.9251175798874
1083,38.9325458218986
1093,52.239620264367
1099,31.1155982379303
1104,12.1039784141372
1114,28.2366675850526
1156,9.51294082654732
1160,-7.33841325610743
1161,-22.5046319304967
1162,-36.154228737447
1180,-48.4388658637023
1193,-59.4950392773321
1206,-36.3452063249407
1232,-15.3740877047757
1244,-29.7367389342982
1255,-42.6631250408684
1258,-54.2968725367815
1261,-64.7672452831034
1281,-74.190580754793
1287,-82.6715826793137
1294,-90.3044844113824
1300,-97.1740959702442
1316,-103.35674637322
1319,-108.921131735898
1330,-113.929078562308
1333,-118.436230706077
1336,-122.49266763547
1337,-126.143460871923
1385,-129.42917478473
1388,-132.386317306257
1391,-135.047745575632
1392,-137.443031018068
1414,-139.598787916262
1426,-141.538969124635
1436,-143.285132212172
1440,-144.856678990955
1465,-146.271071091859
1466,-147.544023982673
1477,-148.689681584406
1485,-149.720773425965
1489,-150.648756083369
1491,-151.483940475032
1523,-152.235606427529
1527,-152.912105784776
1552,-120.42056618164
1568,-91.178180538818
1569,-97.9604224849362
1584,-104.064440236443
1588,-109.558056212798
1604,-81.4019215668603
1605,-56.0614003855161
1627,-66.3553203469645
1632,-42.5194592876099
1637,-54.1675733588489
1640,-31.4077290106349
1645,-10.9303581219005
1648,7.50576470261862
1660,24.0917862200276
1668,5.78254759802488
1675,-10.6957671617776
1682,-25.5262504455998
1691,-38.8736854010398
1695,-50.8863768609359
1697,-61.6977991748423
1699,-71.428079257358
1702,-80.1853313316222
1709,-88.06685819846
1718,-95.160232378614
1728,-101.544269140753
1732,-107.289902226677
1734,-112.46097200401
1737,-83.8717877912796
1742,-91.3846690121516
1745,-98.1462621109365
1746,-104.231695899843
1766,-109.708586309859
1775,-114.637787678873
1781,-85.8309218986564
1788,-93.1478897087908
1789,-99.7331607379117
1798,-105.659904664121
1805,-110.993974197708
1826,-115.794636777938
1830,-120.115233100144
1840,-124.00376979013
1844,-127.503452811117
1853,-130.653167530005
1866,-133.487910777004
1869,-136.039179699304
1875,-138.335321729374
1877,-140.401849556436
1911,-142.261724600793
1917,-143.935612140713
1934,-145.442110926642
1944,-146.797959833978
1947,-148.01822385058
1949,-149.116461465522
1967,-150.10487531897
